Seq,Name,m_Name,RAJ2000,DEJ2000,Sp,Mass,e_Mass,Rad,e_Rad,logg,e_logg,Teff,e_Teff,Remark,SimbadName
367,V994 Her-B,s,18 27 45.89,+24 41 50.68,A4V,1.8590,0.1200,1.4930,0.0800,4.360,0.054,8450,70,***,ADS 11373 B
368,V994 Her-A,s,18 27 45.89,+24 41 50.67,A0V,2.2990,0.1600,1.6880,0.0390,4.345,0.036,9450,90,***,ADS 11373 A
369,V451 Oph,p,18 29 14.04,+10 53 31.44,B9,2.7690,0.0600,2.6460,0.0300,4.035,0.014,10800,800,*,V451 Oph
370,V451 Oph,s,18 29 14.04,+10 53 31.44,A0V,2.3510,0.0500,2.0320,0.0300,4.194,0.016,9800,500,*,V451 Oph
371,RX Her,p,18 30 39.26,+12 36 40.34,B9.5V,2.7480,0.0900,2.4580,0.1110,4.096,0.042,11100,,**,RX Her
372,RX Her,s,18 30 39.26,+12 36 40.34,A0V,2.3260,0.0640,1.9980,0.1110,4.204,0.050,10016,71,**,RX Her
373,V413 Ser,p,18 35 08.21,+00 02 34.82,B8V,3.6540,0.0500,3.2000,0.0500,3.991,0.015,11100,300,*,V413 Ser
374,V413 Ser,s,18 35 08.21,+00 02 34.82,B9V,3.3180,0.0400,2.9210,0.0500,4.028,0.016,10350,280,*,V413 Ser
375,HD 172189,p,18 38 37.55,+05 27 55.34,A5V,2.0600,0.1500,4.0170,0.0940,3.544,0.038,7920,15,***,HD 172189
376,HD 172189,s,18 38 37.55,+05 27 55.34,A6.5V,1.8690,0.1400,2.9690,0.0700,3.765,0.038,7608,15,***,HD 172189
377,QY Tel,p,18 40 29.10,-45 44 51.84,F6V,1.3200,0.0600,1.7400,0.1500,4.078,0.077,6550,200,***,QY Tel
378,QY Tel,s,18 40 29.10,-45 44 51.84,F6V,1.4400,0.0900,2.7000,0.1600,3.734,0.058,6294,201,***,QY Tel
379,V4403 Sgr,p,18 42 11.46,-34 02 25.00,F6,1.3300,0.0200,1.7400,0.0200,4.081,0.012,6517,150,*,V4403 Sgr
380,V4403 Sgr,s,18 42 11.46,-34 02 25.00,F7,1.5900,0.0300,2.5000,0.0300,3.844,0.013,6316,151,*,V4403 Sgr
381,CoRoT 105906206,p,18 43 16.95,+05 58 00.25,F3,2.2500,0.0400,4.2400,0.0200,3.536,0.009,6750,150,*,CoRoT 105906206
382,CoRoT 105906206,s,18 43 16.95,+05 58 00.25,,1.2900,0.0300,1.3400,0.0100,4.295,0.012,6152,162,*,CoRoT 105906206
383,V1331 Aql,p,18 44 12.79,-01 33 15.56,B1V,10.0790,0.1100,4.2530,0.0300,4.184,0.008,25400,100,*,V1331 Aql
384,V1331 Aql,s,18 44 12.79,-01 33 15.56,B1.5V,5.2820,0.1000,4.0430,0.0300,3.948,0.010,20100,140,*,V1331 Aql
385,YY Sgr,p,18 44 35.86,-19 23 22.71,B5V,3.8970,0.1300,2.5760,0.0300,4.207,0.018,14800,700,*,YY Sgr
386,YY Sgr,s,18 44 35.86,-19 23 22.71,B6V,3.4820,0.0900,2.3440,0.0500,4.240,0.022,14125,670,**,YY Sgr
387,ASASJ184949-1518.7,p,18 49 49.33,-15 18 44.94,,1.9100,0.0500,3.0000,0.7000,3.765,0.203,6630,320,1,ASASJ184949-1518.7
388,ASASJ184949-1518.7,s,18 49 49.33,-15 18 44.94,,2.1900,0.0400,9.0000,3.0000,2.870,0.290,4560,120,1,ASASJ184949-1518.7
389,BF Dra,p,18 50 59.35,+69 52 57.48,F6V,1.4130,0.0030,2.9990,0.0170,3.635,0.005,6360,150,2,BF Dra
390,BF Dra,s,18 50 59.35,+69 52 57.48,F6V,1.3740,0.0030,2.7630,0.0170,3.694,0.005,6400,150,2,BF Dra
391,KIC 7177553,p,18 52 02.91,+42 43 16.52,G2V,1.0430,0.0140,0.9400,0.0050,4.510,0.007,5800,130,*,KIC 7177553
392,KIC 7177553,s,18 52 02.91,+42 43 16.52,G2V,0.9860,0.0150,0.9410,0.0050,4.485,0.008,5740,140,*,KIC 7177553
393,BD+03 3821,p,18 52 40.31,+04 03 11.75,B8V,4.2610,0.1160,3.8300,0.0300,3.901,0.014,13140,1500,*,BD+03 3821
394,BD+03 3821,s,18 52 40.31,+04 03 11.75,B8V,2.8190,0.1140,2.0730,0.0200,4.255,0.019,12044,100,**,BD+03 3821
395,DI Her,p,18 53 26.24,+24 16 40.80,B4V,5.1730,0.1000,2.6790,0.0500,4.296,0.018,16980,800,*,DI Her
396,DI Her,s,18 53 26.24,+24 16 40.80,B5V,4.5240,0.0600,2.4790,0.0500,4.305,0.018,15135,715,*,DI Her
397,HP Dra,p,18 54 53.48,+51 18 29.79,F9V,1.0560,0.0050,1.3400,0.0120,4.208,0.008,6000,150,*,HP Dra
398,HP Dra,s,18 54 53.48,+51 18 29.79,F9V,1.0240,0.0070,1.0280,0.0100,4.425,0.009,5895,150,*,HP Dra
399,V1182 Aql,p,18 55 23.13,+09 20 48.08,O5.5V,31.0000,0.6000,9.0000,0.1800,4.021,0.019,43000,500,*,V1182 Aql
400,V1182 Aql,s,18 55 23.13,+09 20 48.08,O9.5V,16.6000,0.4000,4.8600,0.1800,4.285,0.034,30500,500,**,V1182 Aql
401,V1665 Aql,p,18 56 09.90,+07 56 08.21,B9V,3.9650,0.3990,4.1310,0.1000,3.804,0.048,12300,350,***,V1665 Aql
402,V1665 Aql,s,18 56 09.90,+07 56 08.21,B9V,3.6560,0.3700,2.6010,0.0600,4.171,0.048,11650,310,***,V1665 Aql
403,KIC 5738698,p,19 58 52.75,+40 54 14.26,F,1.3900,0.0400,1.8500,0.0200,4.047,0.016,6792,,*,KIC 5738698
404,KIC 5738698,s,19 58 52.75,+40 54 14.26,F,1.3400,0.0600,1.7100,0.0200,4.099,0.022,6739,51,**,KIC 5738698
405,TY Cra,p,19 01 40.83,-36 52 33.88,B9e,3.1100,0.0700,1.4600,0.1500,4.602,0.090,12000,500,2,TY Cra
406,TY Cra,s,19 01 40.83,-36 52 33.88,,1.6100,0.0200,2.3000,0.1400,3.922,0.053,4894,250,**,TY Cra
407,KIC 4544587,p,19 03 32.73,+39 41 00.31,,1.9800,0.0700,1.8200,0.0300,4.215,0.021,8600,100,**,KIC 4544587
408,KIC 4544587,s,19 03 32.73,+39 41 00.31,,1.6100,0.0600,1.5800,0.0300,4.248,0.023,7750,180,**,KIC 4544587
409,V805 Aql,p,19 06 18.20,-11 38 57.33,A2V,2.1140,0.0400,2.1220,0.1210,4.110,0.050,8185,330,**,V805 Aql
410,V805 Aql,s,19 06 18.20,-11 38 57.33,A7V,1.6280,0.0200,1.7600,0.1210,4.159,0.060,7178,300,***,V805 Aql
411,2MASS J19071662+4639532,p,19 07 16.62,+46 39 53.21,K5V,0.6790,0.0100,0.6340,0.0430,4.666,0.059,4150,,***,2MASS J19071662+4639532
412,2MASS J19071662+4639532,s,19 07 16.62,+46 39 53.21,M0V,0.5230,0.0060,0.5250,0.0520,4.717,0.086,3700,,***,2MASS J19071662+4639532
413,V526 Sgr,p,19 08 15.03,-31 20 54.94,B9.5V,2.2820,0.0460,1.8790,0.0130,4.249,0.011,10140,,*,V526 Sgr
414,V526 Sgr,s,19 08 15.03,-31 20 54.94,A2V,1.6870,0.0340,1.5580,0.0110,4.280,0.011,8567,9,*,V526 Sgr
415,FL Lyr,p,19 12 04.86,+46 19 26.87,F8V,1.2180,0.0160,1.2820,0.0300,4.308,0.021,6150,100,*,FL Lyr
416,FL Lyr,s,19 12 04.86,+46 19 26.87,G8V,0.9580,0.0110,0.9620,0.0300,4.453,0.028,5300,95,**,FL Lyr
417,TYC 3121-1659-1,p,19 19 04.38,+38 40 57.00,F3,1.3700,0.2300,1.6000,0.0900,4.167,0.088,6700,150,1,TYC 3121-1659-1
418,TYC 3121-1659-1,s,19 19 04.38,+38 40 57.00,M3,0.3200,0.0400,0.8600,0.0600,4.074,0.081,3170,150,2,TYC 3121-1659-1
419,KIC 3230227,p,19 20 27.03,+38 23 59.46,AV,1.8400,0.1800,2.0100,0.0900,4.097,0.058,8000,30,***,KIC 3230227
420,KIC 3230227,s,19 20 27.03,+38 23 59.46,AV,1.7300,0.1700,1.6800,0.0800,4.226,0.059,8177,30,***,KIC 3230227
421,V565 Lyr,p,19 20 49.10,+37 46 09.30,,0.9950,0.0030,1.1010,0.0070,4.353,0.006,5600,95,*,V565 Lyr
422,V565 Lyr,s,19 20 49.10,+37 46 09.30,,0.9290,0.0030,0.9710,0.0090,4.432,0.008,5430,125,*,V565 Lyr
423,V568 Lyr,p,19 20 54.30,+37 45 34.70,G5V,1.0886,0.0031,1.4203,0.0058,4.170,0.004,5645,95,*,V568 Lyr
424,V568 Lyr,s,19 20 54.30,+37 45 34.70,K3V,0.8292,0.0026,0.7997,0.0015,4.551,0.002,4734,80,*,V568 Lyr
425,V1430 Aql,p,19 21 48.49,+04 32 56.92,G2V,0.9570,0.0100,1.1010,0.0100,4.336,0.009,5262,150,*,V1430 Aql
426,V1430 Aql,s,19 21 48.49,+04 32 56.92,K4V,0.8590,0.0200,0.8510,0.0100,4.512,0.014,4930,100,*,V1430 Aql
427,UZ Dra,p,19 25 55.05,+68 56 07.15,F7V,1.3450,0.0200,1.3110,0.0300,4.332,0.021,6210,110,*,UZ Dra
428,UZ Dra,s,19 25 55.05,+68 56 07.15,G0V,1.2360,0.0200,1.1500,0.0200,4.409,0.017,5985,110,*,UZ Dra
429,V2080 Cyg,p,19 26 47.95,+50 08 43.77,F4V,1.1900,0.0170,1.5960,0.0080,4.108,0.008,6000,75,*,V2080 Cyg
430,V2080 Cyg,s,19 26 47.95,+50 08 43.77,F4V,1.1560,0.0170,1.5990,0.0080,4.094,0.008,5987,75,2,V2080 Cyg
431,V415 Aql,p,19 30 43.73,+13 40 20.78,F6,1.7980,0.1600,2.9720,0.9010,3.747,0.266,6590,,1,V415 Aql
432,V415 Aql,s,19 30 43.73,+13 40 20.78,F6,1.6760,0.1500,2.3410,0.8000,3.924,0.299,6050,,1,V415 Aql
433,V2083 Cyg,p,19 31 16.36,+47 28 52.24,A5,2.1590,0.1390,2.2930,0.1840,4.052,0.075,7630,,***,V2083 Cyg
434,V2083 Cyg,s,19 31 16.36,+47 28 52.24,A5,2.1050,0.1140,2.6500,0.2160,3.915,0.075,7623,45,***,V2083 Cyg
435,WTS 19e-3-08413,p,19 32 43.20,+36 36 53.50,M,0.4630,0.0250,0.4800,0.0220,4.741,0.046,3506,140,**,WTS 19e-3-08413
436,WTS 19e-3-08413,s,19 32 43.20,+36 36 53.50,M,0.3510,0.0190,0.3750,0.0200,4.836,0.052,3338,140,**,WTS 19e-3-08413
437,V885 Cyg,p,19 32 49.86,+30 01 17.03,A3Vm,2.0000,0.0290,2.4870,0.0130,3.948,0.008,8375,150,*,V885 Cyg
438,V885 Cyg,s,19 32 49.86,+30 01 17.03,A4mV,2.2280,0.0260,3.5910,0.0280,3.676,0.008,8150,150,*,V885 Cyg
439,V4089 Sgr,p,19 34 08.49,-40 02 04.70,A2-3IV,2.5840,0.0080,3.9590,0.0130,3.655,0.003,8433,97,*,V4089 Sgr
440,V4089 Sgr,s,19 34 08.49,-40 02 04.70,A7V,1.6070,0.0070,1.6050,0.0160,4.233,0.009,7361,105,*,V4089 Sgr
441,WTS 19b-2-01387,p,19 34 15.50,+36 28 27.30,M,0.4980,0.0190,0.4960,0.0130,4.745,0.028,3498,100,**,WTS 19b-2-01387
442,WTS 19b-2-01387,s,19 34 15.50,+36 28 27.30,M,0.4810,0.0170,0.4790,0.0130,4.760,0.028,3436,100,**,WTS 19b-2-01387
443,WTS 19c-3-01405,p,19 36 40.70,+36 42 46.00,M,0.4100,0.0230,0.3980,0.0190,4.851,0.048,3309,130,**,WTS 19c-3-01405
444,WTS 19c-3-01405,s,19 36 40.70,+36 42 46.00,M,0.3760,0.0240,0.3930,0.0190,4.825,0.050,3305,130,***,WTS 19c-3-01405
445,KIC 6131659,p,19 37 06.98,+41 26 12.86,,0.9220,0.0070,0.8800,0.0030,4.514,0.004,5660,140,*,KIC 6131659
446,KIC 6131659,s,19 37 06.98,+41 26 12.86,,0.6850,0.0050,0.6400,0.0060,4.662,0.009,4780,105,*,KIC 6131659
447,KIC 9777062,p,19 37 50.59,+46 35 23.15,,1.6030,0.0220,1.7440,0.0060,4.160,0.007,7700,250,*,KIC 9777062
448,KIC 9777062,s,19 37 50.59,+46 35 23.15,,1.4190,0.0110,1.5440,0.0040,4.213,0.004,7106,255,*,KIC 9777062
449,V1143 Cyg,p,19 38 41.18,+54 58 25.66,F5V,1.3880,0.0160,1.3470,0.0230,4.322,0.016,6460,100,*,V1143 Cyg
450,V1143 Cyg,s,19 38 41.18,+54 58 25.66,F5V,1.3440,0.0130,1.3240,0.0230,4.323,0.016,6400,100,*,V1143 Cyg
451,WOCS 24009,p,19 40 57.82,+40 09 27.40,,1.0890,0.0180,1.0990,0.0060,4.393,0.009,5925,,*,[HGM2009b] WOCS 24009
452,WOCS 24009,s,19 40 57.82,+40 09 27.40,,1.0760,0.0160,1.0690,0.0130,4.412,0.012,5855,,*,[HGM2009b] WOCS 24009
453,WOCS 40007,p,19 41 33.93,+40 13 00.37,,1.2360,0.0200,1.3990,0.0070,4.239,0.008,6350,150,*,[HGM2009b] WOCS 40007
454,WOCS 40007,s,19 41 33.93,+40 13 00.37,,1.0860,0.0180,1.0980,0.0040,4.393,0.008,5930,150,*,[HGM2009b] WOCS 40007
455,V541 Cyg,p,19 42 29.45,+31 19 40.20,B9.5V,2.3350,0.0170,1.8590,0.0120,4.268,0.006,10650,200,*,V541 Cyg
456,V541 Cyg,s,19 42 29.45,+31 19 40.20,B9.5V,2.2600,0.0160,1.8080,0.0150,4.278,0.008,10350,200,*,V541 Cyg
457,V380 Cyg,p,19 50 37.33,+40 35 59.13,B1.5 II-III,11.4300,0.1900,15.7100,0.1300,3.104,0.010,21700,300,2,V380 Cyg
458,V380 Cyg,s,19 50 37.33,+40 35 59.13,B2V,7.0000,0.1400,3.8190,0.0480,4.120,0.014,22700,1200,*,V380 Cyg
459,KIC 10935310,p,19 51 39.82,+48 19 55.38,G6,0.6800,0.0450,0.7990,0.0170,4.466,0.034,5560,160,3,KIC 10935310
460,KIC 10935310,s,19 51 39.82,+48 19 55.38,M3V,0.3760,0.0170,0.3475,0.0081,4.932,0.028,3460,210,**,KIC 10935310
461,HD 187669,p,19 52 22.08,-32 33 39.70,K0-0.5III,1.5040,0.0040,11.3300,0.2800,2.507,0.021,4650,80,2,HD 187669
462,HD 187669,s,19 52 22.08,-32 33 39.70,K2.5III,1.5050,0.0040,22.6200,0.5000,1.907,0.019,4330,70,2,HD 187669
463,Kepler 1647B,p,19 52 36.02,+40 39 22.20,,1.2210,0.0110,1.7900,0.0060,4.019,0.005,6210,100,2,Kepler 1647B
464,Kepler 1647B,s,19 52 36.02,+40 39 22.20,,0.9680,0.0040,0.9660,0.0060,4.454,0.005,5770,125,*,Kepler 1647B
465,V2094 Cyg,p,19 55 12.05,+46 39 56.03,A5,1.7900,0.1100,2.4700,0.0700,3.906,0.036,7250,480,***,V2094 Cyg
466,V2094 Cyg,s,19 55 12.05,+46 39 56.03,G5,0.8300,0.1200,0.6700,0.0500,4.705,0.090,5050,650,***,V2094 Cyg
467,KIC 9851944,p,19 56 09.73,+46 39 40.19,,1.7600,0.0700,2.2700,0.0300,3.972,0.021,7026,100,**,KIC 9851944
468,KIC 9851944,s,19 56 09.73,+46 39 40.19,,1.7900,0.0700,3.1900,0.0400,3.684,0.020,6902,100,**,KIC 9851944
469,BS Dra,p,19 56 28.77,+73 36 57.52,F5V,1.3600,0.0830,1.4420,0.0220,4.254,0.030,6618,153,***,BS Dra
470,BS Dra,s,19 56 28.77,+73 36 57.52,F5V,1.3580,0.0980,1.4230,0.0720,4.265,0.054,6626,153,***,BS Dra
471,V477 Cyg,p,20 05 27.69,+31 58 18.11,A3V,1.7720,0.1190,1.5800,0.0500,4.289,0.040,8700,300,***,V477 Cyg
472,V477 Cyg,s,20 05 27.69,+31 58 18.11,F2V,1.3290,0.0690,1.2780,0.0400,4.349,0.035,6700,235,**,V477 Cyg
473,V453 Cyg,p,20 06 34.97,+35 44 26.28,B0.4IV,14.3770,0.2000,8.5640,0.0550,3.731,0.008,26600,500,*,V453 Cyg
474,V453 Cyg,s,20 06 34.97,+35 44 26.28,B0.7IV,11.1190,0.1300,5.4970,0.0630,4.004,0.011,25500,800,*,V453 Cyg
475,V2107 Cyg,p,20 08 45.77,+37 14 13.36,B1III,8.9000,2.0000,7.4000,0.6000,3.649,0.120,22500,1500,1,V2107 Cyg
476,V2107 Cyg,s,20 08 45.77,+37 14 13.36,,4.5000,1.3000,2.4000,0.3000,4.331,0.166,15200,1600,1,V2107 Cyg
477,MG1-1819499,p,20 11 51.40,+03 37 20.00,M1.1,0.5570,0.0010,0.5190,0.0110,4.754,0.018,3690,80,*,MOTESS-GNAT 1819499
478,MG1-1819499,s,20 11 51.40,+03 37 20.00,M1.1,0.5350,0.0010,0.4560,0.0070,4.849,0.013,3610,80,*,MOTESS-GNAT 1819499
479,TYC 4589-2999-1,p,20 15 00.23,+76 54 18.31,G1.5V,1.8150,0.1010,2.0110,0.0400,4.090,0.030,5830,40,**,TYC 4589-2999-1
480,TYC 4589-2999-1,s,20 15 00.23,+76 54 18.31,K4V,0.8380,0.1050,0.8460,0.0200,4.507,0.058,4616,116,***,TYC 4589-2999-1
481,TYC 3576-2035-1,p,20 15 21.94,+48 17 14.14,F8IV-V,1.0590,0.0320,1.9890,0.0220,3.866,0.016,6250,100,2,TYC 3576-2035-1
482,TYC 3576-2035-1,s,20 15 21.94,+48 17 14.14,M4V,0.3420,0.0170,0.4570,0.0130,4.653,0.033,2940,120,2,TYC 3576-2035-1
483,V478 Cyg,p,20 19 38.75,+38 20 09.20,O9.5V,16.6280,0.9020,7.4780,0.1210,3.912,0.027,30550,1070,**,V478 Cyg
484,V478 Cyg,s,20 19 38.75,+38 20 09.20,O9.5V,16.2770,0.8990,7.4780,0.1210,3.902,0.028,30550,1070,**,V478 Cyg
485,MY Cyg,p,20 20 03.39,+33 56 35.02,A7 m,1.8050,0.0300,2.2150,0.0200,4.004,0.011,7050,200,*,MY Cyg
486,MY Cyg,s,20 20 03.39,+33 56 35.02,A5 m,1.7940,0.0300,2.2750,0.0200,3.978,0.011,7000,200,*,MY Cyg
487,V399 Vul,p,20 25 10.80,+21 29 18.84,B3IV-V,7.5500,0.0800,6.4980,0.0330,3.691,0.006,19000,320,*,V399 Vul
488,V399 Vul,s,20 25 10.80,+21 29 18.84,B4V,5.4400,0.0300,3.5060,0.0890,4.084,0.022,18250,520,*,V399 Vul
489,BP Vul,p,20 25 33.25,+21 02 17.97,A7mV,1.7370,0.0150,1.8530,0.0140,4.142,0.008,7709,150,*,BP Vul
490,BP Vul,s,20 25 33.25,+21 02 17.97,F2mV,1.4080,0.0090,1.4890,0.0140,4.241,0.009,6823,150,*,BP Vul
491,V443 Cyg,p,20 27 45.64,+38 41 23.81,F2/3V,1.2000,0.2000,1.3000,0.2000,4.290,0.152,6700,350,1,V443 Cyg
492,V443 Cyg,s,20 27 45.64,+38 41 23.81,F8V,1.1000,0.3000,1.1000,0.2000,4.397,0.197,6200,550,1,V443 Cyg
493,V442 Cyg,p,20 27 52.30,+30 47 28.30,F1V,1.5600,0.0200,2.0720,0.0300,3.999,0.014,6900,82,*,V442 Cyg
494,V442 Cyg,s,20 27 52.30,+30 47 28.30,F2V,1.4070,0.0200,1.6620,0.0300,4.145,0.017,6808,79,*,V442 Cyg
495,MP Del,p,20 28 26.57,+11 43 14.52,A7V,1.5590,0.0850,2.4290,0.0460,3.860,0.029,7400,120,**,MP Del
496,MP Del,s,20 28 26.57,+11 43 14.52,F3V,1.2480,0.0740,1.5760,0.0300,4.139,0.031,6927,120,**,MP Del
497,V456 Cyg,p,20 28 50.84,+39 09 13.69,A7V,1.8600,0.0600,1.6800,0.0200,4.257,0.017,7750,100,**,V456 Cyg
498,V456 Cyg,s,20 28 50.84,+39 09 13.69,F3V,1.5800,0.0500,1.4700,0.0200,4.302,0.018,6755,400,**,V456 Cyg
499,MR Del,p,20 31 13.47,+05 13 08.50,K2V,0.6860,0.0650,0.6490,0.0200,4.650,0.049,4900,,***,MR Del
500,MR Del,s,20 31 13.47,+05 13 08.50,K6V,0.6280,0.0640,0.8290,0.0200,4.399,0.049,4400,20,2,MR Del
501,MT91 372,p,20 32 58.92,+41 04 30.00,B1V,13.0000,0.7000,4.9400,0.0400,4.165,0.024,24000,3000,**,MT91 372
502,MT91 372,s,20 32 58.92,+41 04 30.00,B5V,5.7000,0.4000,3.3400,0.0600,4.147,0.034,16600,2300,***,MT91 372
503,MT91 696,p,20 33 59.53,+41 17 35.48,O9.5,15.0000,0.2000,6.3600,0.0300,4.008,0.007,32000,600,*,MT91 696
504,MT91 696,s,20 33 59.53,+41 17 35.48,B0.5V,12.1000,0.8000,5.7200,0.0200,4.006,0.029,30940,1050,***,MT91 696
505,IO Aqr,p,20 40 45.47,+00 56 21.02,F5V-IV,1.5690,0.0040,2.1910,0.0150,3.953,0.006,6475,138,*,IO Aqr
506,IO Aqr,s,20 40 45.47,+00 56 21.02,F6V-IV,1.6550,0.0040,2.4930,0.0170,3.864,0.006,6336,125,*,IO Aqr
507,V379 Cep,p,20 43 13.38,+57 06 50.39,,10.8730,0.2370,7.9860,0.1210,3.670,0.016,22025,428,*,V379 Cep
508,V379 Cep,s,20 43 13.38,+57 06 50.39,,6.2330,0.1330,3.0700,0.0400,4.259,0.015,20206,374,*,V379 Cep
509,Y Cyg,p,20 52 03.58,+34 39 27.47,O9.5,17.7200,0.3500,5.7850,0.0910,4.162,0.016,33200,200,*,Y Cyg
510,Y Cyg,s,20 52 03.58,+34 39 27.47,O9.5V,17.7300,0.3000,5.8160,0.0630,4.158,0.012,33521,40,*,Y Cyg
511,CG Cyg,p,20 58 13.45,+35 10 29.66,G9V,0.9480,0.0120,0.8960,0.0130,4.511,0.014,5260,185,*,CG Cyg
512,CG Cyg,s,20 58 13.45,+35 10 29.66,K3V,0.8210,0.0130,0.8460,0.0140,4.498,0.016,4720,66,*,CG Cyg
513,ER Vul,p,21 02 25.91,+27 48 26.44,F9V,1.0930,0.0700,1.1610,0.0600,4.347,0.053,6000,52,***,ER Vul
514,ER Vul,s,21 02 25.91,+27 48 26.44,G9V,1.0550,0.0600,1.1810,0.1400,4.317,0.106,5883,52,***,ER Vul
515,V1061 Cyg,p,21 07 20.52,+52 02 58.42,F9V,1.2810,0.0150,1.6160,0.0170,4.129,0.010,6180,100,*,V1061 Cyg
516,V1061 Cyg,s,21 07 20.52,+52 02 58.42,G8V,0.9310,0.0070,0.9740,0.0200,4.430,0.018,5300,150,*,V1061 Cyg
517,EI Cep,p,21 28 28.21,+76 24 12.59,F3IV,1.7720,0.0070,2.8980,0.0480,3.763,0.014,6750,100,*,EI Cep
518,EI Cep,s,21 28 28.21,+76 24 12.59,F1V,1.6800,0.0060,2.3300,0.0440,3.929,0.016,6950,100,*,EI Cep
519,ASAS-21,p,21 29 54.00,-56 20 03.87,K,0.8390,0.0170,0.8470,0.0120,4.506,0.015,4750,150,*,ASAS J212953-5619.8
520,ASAS-21,s,21 29 54.00,-56 20 03.87,K,0.7140,0.0130,0.7200,0.0170,4.577,0.022,4220,180,*,ASAS J212953-5619.8
521,EE Peg,p,21 40 01.88,+09 11 05.11,A3mV,2.1510,0.0200,2.1030,0.0300,4.125,0.013,8700,200,*,EE Peg
522,EE Peg,s,21 40 01.88,+09 11 05.11,F5V,1.3320,0.0100,1.3210,0.0100,4.321,0.007,6450,300,*,EE Peg
523,EK Cep,p,21 41 21.51,+69 41 34.11,A2V,2.0240,0.0200,1.5790,0.0150,4.348,0.009,9000,200,*,EK Cep
524,EK Cep,s,21 41 21.51,+69 41 34.11,G5Vp,1.1220,0.0100,1.3150,0.0150,4.250,0.011,5700,190,*,EK Cep
525,OO Peg,p,21 41 37.70,+14 39 30.75,A7V,1.8200,0.0200,2.2100,0.0100,4.010,0.006,7850,350,*,OO Peg
526,OO Peg,s,21 41 37.70,+14 39 30.75,A8V,1.7700,0.0200,1.9600,0.0100,4.102,0.007,7600,450,*,OO Peg
527,NGC 7142 V2,p,21 44 29.62,+65 48 43.90,,1.3770,0.0090,1.6160,0.0050,4.160,0.004,6238,52,*,[SSS2011b] V2
528,NGC 7142 V2,s,21 44 29.62,+65 48 43.90,,1.3770,0.0090,1.6130,0.0050,4.162,0.004,6276,63,*,[SSS2011b] V2
529,V375 Cep,p,21 44 54.74,+65 43 55.30,,1.2880,0.0170,1.6230,0.0060,4.128,0.007,6230,50,*,V375 Cep
530,V375 Cep,s,21 44 54.74,+65 43 55.30,,0.8710,0.0080,0.8970,0.0030,4.473,0.005,5151,50,*,V375 Cep
531,VZ Cep,p,21 50 11.14,+71 26 38.30,F3V,1.3760,0.0270,1.6220,0.0190,4.157,0.013,6700,,*,VZ Cep
532,VZ Cep,s,21 50 11.14,+71 26 38.30,G4V,1.0730,0.0230,0.9340,0.0250,4.528,0.025,5630,30,*,VZ Cep
533,V497 Cep,p,21 53 26.55,+62 35 13.16,B3V,6.4730,0.4320,3.7130,0.0300,4.110,0.030,19500,400,***,V497 Cep
534,V497 Cep,s,21 53 26.55,+62 35 13.16,B5V,5.0000,0.3710,2.9380,0.0300,4.201,0.033,17756,405,***,V497 Cep
535,BG Ind,p,21 58 30.08,-59 00 43.71,F3V,1.5020,0.0080,2.3260,0.0170,3.882,0.007,6353,270,*,BG Ind
536,BG Ind,s,21 58 30.08,-59 00 43.71,F5V,1.3430,0.0080,1.7060,0.0390,4.102,0.020,6653,233,*,BG Ind
537,CM Lac,p,22 00 04.45,+44 33 07.74,A2V,1.9710,0.0600,1.5090,0.0300,4.376,0.022,8700,300,**,CM Lac
538,CM Lac,s,22 00 04.45,+44 33 07.74,A8V,1.5030,0.1000,1.5490,0.0300,4.235,0.033,7034,270,***,CM Lac
539,V398 Lac,p,22 07 12.41,+52 38 08.46,B9V,3.8340,0.3500,4.8930,0.1800,3.643,0.051,11000,500,***,V398 Lac
540,V398 Lac,s,22 07 12.41,+52 38 08.46,B9V,3.2910,0.3200,2.4520,0.1100,4.177,0.057,10900,450,***,V398 Lac
541,BW Aqr,p,22 23 15.93,-15 19 56.22,F7?,1.4790,0.0200,2.0570,0.0400,3.982,0.018,6350,100,*,BW Aqr
542,BW Aqr,s,22 23 15.93,-15 19 56.22,F8IV?,1.3770,0.0200,1.7880,0.0400,4.073,0.020,6450,100,*,BW Aqr
543,WX Cep,p,22 31 15.78,+63 31 21.55,A5V,2.3240,0.0460,3.9970,0.0300,3.601,0.011,8150,225,*,WX Cep
544,WX Cep,s,22 31 15.78,+63 31 21.55,A2V,2.5330,0.0490,2.7080,0.0250,3.977,0.012,8872,250,*,WX Cep
545,LL Aqr,p,22 34 42.15,-03 35 58.17,F9V,1.1950,0.0010,1.3210,0.0060,4.274,0.004,6080,45,*,LL Aqr
546,LL Aqr,s,22 34 42.15,-03 35 58.17,G3V,1.0340,0.0010,1.0020,0.0050,4.451,0.004,5703,50,*,LL Aqr
547,RW Lac,p,22 44 57.10,+49 39 27.57,G5V,0.9280,0.0060,1.1930,0.0040,4.253,0.004,5760,100,*,RW Lac
548,RW Lac,s,22 44 57.10,+49 39 27.57,F7V,0.8700,0.0040,0.9700,0.0040,4.404,0.004,5560,150,*,RW Lac
549,AH Cep,p,22 47 52.94,+65 03 43.80,B0.5V,15.5650,0.2020,6.3850,0.1100,4.020,0.016,29900,1000,*,AH Cep
550,AH Cep,s,22 47 52.94,+65 03 43.80,B0.5V,13.7140,0.2020,5.8640,0.1300,4.039,0.020,28600,1000,*,AH Cep
